Прайс-лист,,,,,
,,,,,
,,,,,
Лампи для проекторів,,,,,
№,Артикул,Наименование,URL,Наличие,Цена (грн.)
24,,Лампа RLC-061 Оригинальная лампа в модуле ,https://buygadget.com.ua/lampa-rlc-061/?sku=1296,Есть,"4 680,00"
25,5J.J3V05.001,Лампа 5J.J3V05.001 Оригинальная лампа ,https://buygadget.com.ua/lampa-5jj3v05001/,Есть,"3 480,00"
26,5J.J3V05.001,Лампа 5J.J3V05.001 Оригинальная лампа в модуле,https://buygadget.com.ua/lampa-5jj3v05001/?sku=1298,Есть,"4 280,00"
27,,Лампа 5J.J6P05.001 Оригинальная лампа,https://buygadget.com.ua/lampa-5jj6p05001/,Есть,"3 044,00"
28,,Лампа 5J.J6P05.001 Оригинальная лампа в модуле,https://buygadget.com.ua/lampa-5jj6p05001/?sku=1301,Есть,"3 844,00"
29,,Лампа 5J.JED05.001 Оригинальная лампа ,https://buygadget.com.ua/lampa-5jjed05001/,Есть,"3 880,00"
30,,Лампа 5J.JED05.001 Оригинальная лампа в модуле ,https://buygadget.com.ua/lampa-5jjed05001/?sku=1319,Есть,"4 680,00"
31,Philips,Лампа BL-FU310B Оригінальна лампа ,https://buygadget.com.ua/lampa-bl-fu310b/,Есть,"5 350,00"
32,Philips,Лампа BL-FU310B Оригінальна лампа в модулі,https://buygadget.com.ua/lampa-bl-fu310b/?sku=1330,Есть,"6 150,00"
33,Philips,Лампа BL-FU310A Оригинальная лампа ,https://buygadget.com.ua/lampa-bl-fu310a/,Есть,"5 105,00"
34,Philips,Лампа BL-FU310A Оригинальная лампа в модуле ,https://buygadget.com.ua/lampa-bl-fu310a/?sku=1327,Есть,"5 905,00"
35,Ushio ,Лампа NP17LP Оригинальная лампа,https://buygadget.com.ua/lampa-np17lp/,Есть,"4 000,00"
36,Ushio ,Лампа NP17LP Оригинальная лампа в модуле,https://buygadget.com.ua/lampa-np17lp/?sku=1332,Есть,"4 800,00"
37,OSRAM,Лампа 5J.J0105.001 Оригинальная лампа ,https://buygadget.com.ua/lampa-5jj0105001/,Есть,"2 715,00"
38,OSRAM,Лампа 5J.J0105.001 Оригинальная лампа в модуле,https://buygadget.com.ua/lampa-5jj0105001/?sku=1336,Есть,"3 315,00"
39,Philips,Лампа NP30LP Оригінальна лампа ,https://buygadget.com.ua/lampa-np30lp/,Есть,"4 700,00"
40,Philips,Лампа NP30LP Оригінальна лампа в модулі,https://buygadget.com.ua/lampa-np30lp/?sku=1338,Есть,"5 500,00"
41,PHILIPS,Лампа 5J.J9R05.001 Оригинальная лампа ,https://buygadget.com.ua/lampa-5jj9r05001/,Есть,"3 583,00"
42,PHILIPS,Лампа 5J.J9R05.001 Оригинальная лампа в модуле ,https://buygadget.com.ua/lampa-5jj9r05001/?sku=1386,Есть,"4 383,00"
43,EPSON,Лампа ELPLP67 (V13H010L67) Оригінальна лампа,https://buygadget.com.ua/lampa-elplp67-v13h010l67/,Есть,"4 100,00"
44,EPSON,Лампа ELPLP67 (V13H010L67) Оригінальна лампа в модулі,https://buygadget.com.ua/lampa-elplp67-v13h010l67/?sku=1388,Есть,"5 800,00"
45, EPSON,Лампа ELPLP96 (V13H010L96) Оригінальна лампа,https://buygadget.com.ua/lampa-elplp96-v13h010l96/,Есть,"5 500,00"
46, EPSON,Лампа ELPLP96 (V13H010L96) Оригінальна лампа в модулі,https://buygadget.com.ua/lampa-elplp96-v13h010l96/?sku=1396,Есть,"7 900,00"
47,Panasonic,Лампа ET-LAF100 Оригинальная лампа,https://buygadget.com.ua/lampa-et-laf100/,Есть,"6 777,00"
48,Panasonic,Лампа ET-LAF100 Оригинальная лампа в модуле,https://buygadget.com.ua/lampa-et-laf100/?sku=1398,Есть,"7 577,00"
49,EPSON,Лампа ELPLP34 (V13H010L34) Оригинальная лампа ,https://buygadget.com.ua/lampa-elplp34-v13h010l34/,Есть,"3 936,00"
50,EPSON,Лампа ELPLP34 (V13H010L34) Оригинальная лампа в модуле,https://buygadget.com.ua/lampa-elplp34-v13h010l34/?sku=1400,Есть,"4 736,00"
51,Philips,Лампа LMP-E221 Оригинальная лампа ,https://buygadget.com.ua/lampa-lmp-e221/,Есть,"5 942,00"
52,Philips,Лампа LMP-E221 Оригинальная лампа в модуле ,https://buygadget.com.ua/lampa-lmp-e221/?sku=1403,Есть,"6 742,00"
53,OSRAM,Лампа RLC-072 Оригинальная лампа ,https://buygadget.com.ua/lampa-rlc-072/,Есть,"2 988,00"
54,OSRAM,Лампа RLC-072 Оригинальная лампа в модуле,https://buygadget.com.ua/lampa-rlc-072/?sku=1405,Есть,"3 788,00"
55,OSRAM,Лампа 20-01032-20 Оригинальная лампа ,https://buygadget.com.ua/lampa-20-01032-20/,Есть,"2 988,00"
56,OSRAM,Лампа 20-01032-20 Оригинальная лампа в модуле,https://buygadget.com.ua/lampa-20-01032-20/?sku=1407,Есть,"3 788,00"
57,OSRAM,Лампа 5J.JEE05.001 Оригинальная лампа  ,https://buygadget.com.ua/lampa-5jjee05001/,Есть,"6 814,00"
58,OSRAM,Лампа 5J.JEE05.001 Оригинальная лампа в модуле,https://buygadget.com.ua/lampa-5jjee05001/?sku=1409,Есть,"8 414,00"
59,OSRAM,Лампа 5J.J7L05.001 Оригинальная лампа ,https://buygadget.com.ua/lampa-5jj7l05001/,Есть,"3 992,00"
60,OSRAM,Лампа 5J.J7L05.001 Оригинальная лампа в модуле ,https://buygadget.com.ua/lampa-5jj7l05001/?sku=1411,Есть,"4 792,00"
61,EPSON	,Лампа ELPLP41 (V13H010L41) Оригинальная лампа,https://buygadget.com.ua/lampa-ELPLP41/,Есть,"3 880,00"
62,EPSON	,Лампа ELPLP41 (V13H010L41) Оригинальная лампа в модуле,https://buygadget.com.ua/lampa-ELPLP41/?sku=1452,Есть,"4 680,00"
63,OSRAM,Лампа BL-FU190D Оригінальная лампа,https://buygadget.com.ua/lampa-bl-fu190d/,Есть,"3 657,00"
64,OSRAM,Лампа BL-FU190D Оригінальная лампа в модулі ,https://buygadget.com.ua/lampa-bl-fu190d/?sku=1467,Есть,"4 457,00"
65,,Лампа NP43LP Оригінальная лампа,https://buygadget.com.ua/lampa-np43lp/,Есть,"3 657,00"
66,,Лампа NP43LP Оригінальная лампа в модулі,https://buygadget.com.ua/lampa-np43lp/?sku=1469,Есть,"4 457,00"
67,Ushio,Лампа NP23LP Оригінальная лампа,https://buygadget.com.ua/lampa-np23lp/,Есть,"4 530,00"
68,Ushio,Лампа NP23LP Оригінальная лампа в модулі,https://buygadget.com.ua/lampa-np23lp/?sku=1471,Есть,"5 330,00"
69,Ushio,Лампа ELPLP89 (V13H010L89) Оригінальная лампа ,https://buygadget.com.ua/lampa-elplp89-v13h010l89/,Есть,"5 704,00"
70,Ushio,Лампа ELPLP89 (V13H010L89) Оригінальная лампа в модулі ,https://buygadget.com.ua/lampa-elplp89-v13h010l89/?sku=1473,Есть,"8 100,00"
71,,Лампа ELPLP63 (V13H010L63) Сумісна лампа 280W,https://buygadget.com.ua/lampa-elplp63-v13h010l63/,Есть,"3 351,00"
72,,Лампа ELPLP63 (V13H010L63) Сумісна лампа в модулі 280W,https://buygadget.com.ua/lampa-elplp63-v13h010l63/?sku=1475,Есть,"4 151,00"
73,Ushio,Лампа ELPLP63 (V13H010L63) Оригінальна лампа 300W,https://buygadget.com.ua/lampa-elplp63-v13h010l63/?sku=1507,Есть,"7 102,00"
74,Ushio,Лампа ELPLP63 (V13H010L63) Оригінальна лампа в модулі 300W,https://buygadget.com.ua/lampa-elplp63-v13h010l63/?sku=1508,Есть,"8 302,00"
75,IWASAKI,Лампа ELPLP77 (V13H010L77) Оригінальна лампа,https://buygadget.com.ua/lampa-elplp77-v13h010l77/,Есть,"6 276,00"
76,IWASAKI,Лампа ELPLP77 (V13H010L77) Оригинальная лампа в модулі,https://buygadget.com.ua/lampa-elplp77-v13h010l77/?sku=1516,Есть,"7 076,00"
77,EPSON,Лампа ELPLP87 (V13H010L87) Оригінальная лампа,https://buygadget.com.ua/lampa-elplp87-v13h010l87/,Есть,"4 200,00"
78,EPSON,Лампа ELPLP87 (V13H010L87) Оригінальная лампа в модулі,https://buygadget.com.ua/lampa-elplp87-v13h010l87/?sku=1600,Есть,"6 600,00"
79,,Лампа ELPLP94 (V13H010L94) Оригінальна лампа ,https://buygadget.com.ua/lampa-elplp94-v13h010l94/,Есть,"5 200,00"
80,,Лампа ELPLP94 (V13H010L94) Оригинальная лампа в модулі ,https://buygadget.com.ua/lampa-elplp94-v13h010l94/?sku=1604,Есть,"7 600,00"
81,Philips,Лампа 5J.J6D05.001 Оригінальна лампа ,https://buygadget.com.ua/lampa-5jj6d05001/,Есть,"2 766,00"
82,Philips,Лампа 5J.J6D05.001 Оригинальная лампа в модулі,https://buygadget.com.ua/lampa-5jj6d05001/?sku=1606,Есть,"3 566,00"
83,OSRAM,Лампа RLC-090 Оригинальна лампа ,https://buygadget.com.ua/lampa-rlc-090/,Есть,"3 657,00"
84,OSRAM,Лампа RLC-090 Оригинальна лампа в модулі,https://buygadget.com.ua/lampa-rlc-090/?sku=1608,Есть,"4 457,00"
85,OSRAM,Лампа TLPLV6 Оригинальна лампа,https://buygadget.com.ua/lampa-tlplv6/,Есть,"3 657,00"
86,OSRAM,Лампа TLPLV6 Оригинальна лампа в модулі,https://buygadget.com.ua/lampa-tlplv6/?sku=1610,Есть,"4 457,00"
87,EPSON,Лампа ELPLP78 (V13H010L78) Оригинальна лампа,https://buygadget.com.ua/lampa-elplp78-v13h010l78/,Есть,"4 200,00"
88,EPSON,Лампа ELPLP78 (V13H010L78) Оригинальна лампа в модулі,https://buygadget.com.ua/lampa-elplp78-v13h010l78/?sku=1612,Есть,"6 600,00"
89,EPSON,Лампа ELPLP61 (V13H010L61) Оригінальна лампа 230W,https://buygadget.com.ua/lampa-elplp61-v13h010l61/,Есть,"5 466,00"
90,EPSON,Лампа ELPLP61 (V13H010L61) Оригінальна лампа в модулі 230W ,https://buygadget.com.ua/lampa-elplp61-v13h010l61/?sku=1620,Есть,"6 266,00"
91,Philips ,Лампа CS.59J99.1B1 Оригінальна лампа,https://buygadget.com.ua/lampa-cs59j991b1/,Есть,"4 048,00"
92,Philips ,Лампа CS.59J99.1B1 Оригинальная лампа в модулі,https://buygadget.com.ua/lampa-cs59j991b1/?sku=1626,Есть,"4 848,00"
93,Philips,Лампа RLC-094 Оригінальная лампа,https://buygadget.com.ua/lampa-rlc-094/,Есть,"2 320,00"
94,,Лампа RLC-094 Оригінальная лампа в модулі ,https://buygadget.com.ua/lampa-rlc-094/?sku=1635,Есть,"3 120,00"
95,OSRAM,Лампа BL-FU200D Оригінальна лампа  ,https://buygadget.com.ua/lampa-bl-fu200d/,Есть,"3 800,00"
96,OSRAM,Лампа BL-FU200D Оригінальна лампа в модулі  ,https://buygadget.com.ua/lampa-bl-fu200d/?sku=1637,Есть,"4 600,00"
97,Philips,Лампа 5J.JCJ05.001 Оригінальна лампа,https://buygadget.com.ua/lampa-5jjcj05001/,Есть,"2 370,00"
98,Philips,Лампа 5J.JCJ05.001 Оригінальна лампа в модулі ,https://buygadget.com.ua/lampa-5jjcj05001/?sku=1639,Есть,"3 170,00"
99,Ushio ,Лампа VLT-XD206LP Оригінальна лампа 200W,https://buygadget.com.ua/lampa-lt-xd206lp/,Есть,"4 600,00"
100,Ushio ,Лампа VLT-XD206LP Оригінальна лампа в модулі 200W,https://buygadget.com.ua/lampa-lt-xd206lp/?sku=1657,Есть,"5 400,00"
101,USHIO,Лампа ET-LAL500 Оригинальна лампа,https://buygadget.com.ua/lampa-et-lal500/,Есть,"4 100,00"
102,USHIO,Лампа ET-LAL500 Оригинальна лампа в модулі ,https://buygadget.com.ua/lampa-et-lal500/?sku=1697,Есть,"4 900,00"
103,OSRAM,Лампа 5J.JGP05.001 Оригинальна лампа,https://buygadget.com.ua/lampa-5jjgp05001/,Есть,"3 640,00"
104,OSRAM,Лампа 5J.JGP05.001 Оригинальна лампа в модулі,https://buygadget.com.ua/lampa-5jjgp05001/?sku=1699,Есть,"4 440,00"
Товари для майнінгу,,,,,
№,Артикул,Наименование,URL,Наличие,Цена (грн.)
1,B00851,Переходник питания для процессора 4 pin на 8 pin,https://buygadget.com.ua/perekhodnik-pitaniya-dlya-protsessora-4-pin-na-8-pinnew/,Есть," 146,00"
2,B00850,"Кабель живлення процесора Ewell 4pin M/F 20 см, EW200",https://buygadget.com.ua/udlinitel-pitaniya-atx-4-pin-mfnew/,Есть," 108,00"
3,B00326,"Розгалужувач живлення для відеокарт Ewell, PCI-E 6pin to 8pin (6+2) , універсальний 20 см",https://buygadget.com.ua/kabel-pitaniya-dlya-videokart-pci-e-8pin-62-to-6pin-universalnyy/,Есть," 145,00"
4,B00325,"Розгалужувач живлення для відеокарт Ewell PCI-E 8pin to 8pin (6+2) , універсальний, 20 см 20 см",https://buygadget.com.ua/kabel-pitaniya-dlya-videokart-pci-e-8pin-62-to-8pin-universalnyy/,Есть," 150,00"
5,B00961,"Кабель живлення процесора Ewell 4pin M/F 40 см, EW394",https://buygadget.com.ua/udlinitel-pitaniya-atx-4-pin-mfnew/?sku=1545,Есть," 173,00"
6,B00457,"Розгалужувач живлення для відеокарт Ewell, PCI-E 6pin to 8pin (6+2) , універсальний 30 см",https://buygadget.com.ua/kabel-pitaniya-dlya-videokart-pci-e-8pin-62-to-6pin-universalnyy/?sku=1616,Есть," 165,00"
7,B00939,"Розгалужувач живлення для відеокарт Ewell PCI-E 8pin to 8pin (6+2) , універсальний, 20 см 30 см",https://buygadget.com.ua/kabel-pitaniya-dlya-videokart-pci-e-8pin-62-to-8pin-universalnyy/?sku=1455,Есть," 180,00"
8,B00932,"Розгалужувач живлення для відеокарт Ewell, PCI-E 6pin to 8pin (6+2) , універсальний 50 см",https://buygadget.com.ua/kabel-pitaniya-dlya-videokart-pci-e-8pin-62-to-6pin-universalnyy/?sku=1454,Есть," 208,00"
9,B00465,Тримач — кронштейн для відеокарти,https://buygadget.com.ua/trimach--kronshteyn-dlya-vdeokarti/,Есть,"1 166,00"
10,B00916,"Тримач для відеокарти та кулера CPU Ewell, silver, 27 см (EW471) silver",https://buygadget.com.ua/trimach-dlya-vdeokarti-ta-kulera-cpu-ewell-27-sm/,Есть," 555,00"
11,B00917,"Тримач для відеокарти та кулера CPU Ewell, silver, 27 см (EW471) black",https://buygadget.com.ua/trimach-dlya-vdeokarti-ta-kulera-cpu-ewell-27-sm/?sku=1683,Есть," 555,00"
Інтерфейсні кабелі та адаптери,,,,,
№,Артикул,Наименование,URL,Наличие,Цена (грн.)
1,B00654,"Адаптер PCI-E 4x to USB3.1 Type-A, 2ext., ASM1142",https://buygadget.com.ua/adapter-pci-e-to-2xusb31-asm1142-rtl/,Есть,"1 330,00"
2,B00199,"Кабель DisplayPort M to VGA M, 1.8м",https://buygadget.com.ua/kabel-displayport-m-to-vga-m-18m/,Есть," 408,00"
3,B00882,"Магнітний кабель Ewell Lightning - USB 2.1 А 1 метр, в золотистой оплетке ",https://buygadget.com.ua/magnetic-kabel-lightning-rtl/,Есть," 165,00"
4,B00334,Кабель HDMI M to mini HDMI M,https://buygadget.com.ua/kabel-hdmi-m-to-mini-hdmi-m/,Есть," 118,00"
5,B00571,Адаптер HDMI M to micro HDMI F,https://buygadget.com.ua/adapter-hdmi-m-to-micro-hdmi-f/,Есть," 126,00"
6,B00594,Видео конвертер VGA/RCA/4-pin S-Video to VGA ,https://buygadget.com.ua/video-konverter-vga-to-vgarca4-pin-s-video-vkhod/,Есть," 880,00"
7,B00418,Адаптер DMS 59 to 2xVGA,https://buygadget.com.ua/adapter-dms-59-to-2xvga/,Есть," 260,00"
8,B00928,"Адаптер USB 2.0 to HDMI /DVI /VGA, audio",https://buygadget.com.ua/adapter-usb-20-to-hdmi-dvi-vga-audio/,Есть,"2 572,00"
9,B00937,"Конвертер HDMI to HDMI 4K 60Hz, плюс аудіо RCA/ SPDF",https://buygadget.com.ua/konverter-hdmi-to-hdmi-4k-60hz-plyus-audo-rca-spdf/,Есть,"1 383,00"
10,B00752,Адаптер HDMI to RCA Audio Video AV CVBS,https://buygadget.com.ua/adapter-hdmi-to-rca-audio-video-av-cvbs/,Есть," 440,00"
11,B00846,Кабель питания для видеокарт 6pin (M) to 2xMolex (M),https://buygadget.com.ua/kabel-pitaniya-dlya-videokart-6pin-m-to-2xmolex-mnew/,Есть," 146,00"
12,B00637,Кабель питания для видеокарт 6pin/8pin (M) to 2xSATA (M) универсальный,https://buygadget.com.ua/kabel-pitaniya-dlya-videokart-6pin8pin-m-to-2xsata-m-universalnyy/,Есть," 144,00"
13,B00867,"Кабель USB2.0 AM to micro USB2.0 M, оплетка, RTL 1.3 метра, золотистый, блистер",https://buygadget.com.ua/kabel-usb20-am-to-micro-usb20-m-opletka-2m/,Есть," 64,00"
14,B00881,"Магнітний кабель Ewell USB Type-C to USB 2.1 A 1 метр, в красной оплетке ",https://buygadget.com.ua/magnetic-kabel-usb20-am-to-type-c-rtl/,Есть," 140,00"
15,B00874,"Адаптер micro USB2.0 to LAN 10/100Mb/s, AX88772A",https://buygadget.com.ua/adapter-micro-usb20-to-lan-10100mbs-ax88772a/,Есть," 472,00"
16,B00233,Адаптер 3pin Audio 6.3 мм (M) to 2.5 мм (F),https://buygadget.com.ua/adapter-audio-63-mm-m-to-25-mm-f/,Есть," 22,00"
17,B00518,Адаптер HDMI M to DVI M (24+1),https://buygadget.com.ua/adapter-hdmi-m-to-dvi-m-245/,Есть," 138,00"
18,B00854,Адаптер Ewell PCI-E 3.0 16х to M. 2 SSD (EW238),https://buygadget.com.ua/adapter-pci-e-30-16kh-to-m2-ssd/,Есть," 260,00"
19,B00445,"Адаптер Bluetooth 4.0, чіп CSR8510, aptX чорний",https://buygadget.com.ua/adapter-bluetooth-40-chp-csr8510-aptx/,Есть," 335,00"
20,B00278,"Адаптер Bluetooth 4.0, черный, RTL",https://buygadget.com.ua/adapter-bluetooth-40-chernyy-rtl/,Есть," 223,00"
21,B00289,Адаптер HDMI to micro HDMI F/M,https://buygadget.com.ua/adapter-hdmi-f-to-micro-hdmi-m/,Есть," 104,00"
22,B00688,Видео Splitter DVI на 2 монитора DVI/VGA 24+1,https://buygadget.com.ua/video-splitter-dvi-na-2-monitora-dvivga/,Есть," 353,00"
23,DT-T0011,"Кабель USB3.1 Type-c to Lightning, DTECH",https://buygadget.com.ua/kabel-usb31-type-c-to-lightning-dtech/,Есть," 371,00"
24,B00595,"Кабель Ewell USB Type-C, Gen2, 100W 5A, 20 Gbps, чорний 1.0 метри (EW412)",https://buygadget.com.ua/kabel-type-c-gen2-4k-100w-5a-20-gbps/,Есть," 390,00"
25,B00759,Магнітний кабель синхронізації Ewell USB Type-C to USB 3A 1 м в серебристой оплетке,https://buygadget.com.ua/magnetic-kabel-usb20-am-to-type-c/,Есть," 300,00"
26,B00250,"Magnetic коннектор (2,4A) ",https://buygadget.com.ua/magnetic-konnektor-24anew/,Есть," 137,00"
27,B00662,"Кабель Audio 3.5 мм to 2xRCA M/M, Premium 1.5 метри",https://buygadget.com.ua/kabel-audio-35-mm-m-to-2xrca-m-premium/,Есть," 112,00"
28,B00284,Адаптер mini USB2.0 to USB2.0 M/F (OTG Adapter) 0.1м,https://buygadget.com.ua/adapter-mini-usb20-m-to-usb20-af-otg-adapter-08m/,Есть," 33,00"
29,PC0016C,"Контролер PCI to USB2.0 (4ext. 1int.) VIA, DTECH",https://buygadget.com.ua/adapter-pci-to-usb20-4ext-1int-via-dtech/,Есть," 497,00"
30,B00957,"Контролер PCI-E to IEEE1394B (2x9pin ext., 1x9pin int.) Texas Instruments ",https://buygadget.com.ua/adapter-pci-e-to-ieee1394b-2x9pin-ext-1x9pin-int-texas-instruments/,Есть,"1 600,00"
31,B00682,"Контролер Ewell PCI-E 4x to USB3.1, 2ext., ASM3142 (EW259)",https://buygadget.com.ua/adapter-pci-e-4x-to-usb31-type-a-2ext-asm3142/,Есть,"1 750,00"
32,B00319,Контролер Ewell PCI-E to USB3.0 (2int. 19pin USB header) NEC (EW088),https://buygadget.com.ua/adapter-pci-e-to-2-ports-19pin-usb-30-nec/,Есть," 885,00"
33,B00477,Кабель USB2.0 AM to micro USB2.0 M 0.8 метри,https://buygadget.com.ua/kabel-usb20-am-to-micro-usb20-m-18m/,Есть," 39,00"
34,B00935,"Адаптер Ewell USB 3.1 Type-C - HDMI, 4K, 30Hz, 0.2 м срібний",https://buygadget.com.ua/adapter-usb31-type-c-to-hdmi-4k-60hz/,Есть," 395,00"
35,B00713,Адаптер Mini DisplayPort M to HDMI / VGA / DVI F 24+5 білий,https://buygadget.com.ua/adapter-mini-displayport-m-to-hdmi--vga--dvi-f-241/,Есть," 350,00"
36,B00559,"Контролер Ewell PCI-E to USB3.0 (2ext. 19pin USB header, Sata Power) NEC (EW037)",https://buygadget.com.ua/adapter-pci-e-to-usb30-2ext-19pin-sata-power-nec-rtl/,Есть," 695,00"
37,B00824,"Магнітний кабель Ewell microUSB2.0 - USB 2.1 A 1 метр, в черной оплетке ",https://buygadget.com.ua/magnetic-kabel-usb20-am-to-micro-usb-rtl/,Есть," 120,00"
38,B00169,"Адаптер PCI-E to 4x SATA III int., ASM106X+109X",https://buygadget.com.ua/adapter-pci-e-to-4x-sata-iii-int-asm106x109xgreen/,Есть,"1 250,00"
39,B00630,"Кабель SFF8087 to 4xSATA, CBL-SFF8087OCF-10M",https://buygadget.com.ua/kabel-sff8087-to-4xsata/,Есть," 590,00"
40,B00452,Адаптер 3pin Audio 3.5 мм (F) to 2.5 мм (M),https://buygadget.com.ua/adapter-audio-35-mm-f-to-25-mm-m/,Есть," 22,00"
41,B00449,Кабель питания ATA (M) to 2xSATA 15pin (F),https://buygadget.com.ua/kabel-pitaniya-ata-f-to-2xsata-15pin-f/,Есть," 72,00"
42,B00193,Синхронизатор блоков питания ATX 24 Pin to Molex,https://buygadget.com.ua/sinkhronizator-blokov-pitaniya-atx-24-pin-to-molex/,Есть," 188,00"
43,B00314,"Кабель USB2.0 to DC3.5, 0.7м",https://buygadget.com.ua/kabel-usb20-to-dc35-07m/,Есть," 85,00"
44,B00829,"Адаптер Ewell 9pin USB2.0 - 19pin USB3.0, M/F (EW225)",https://buygadget.com.ua/adapter-9pin-usb20-to-19pin-usb30-mf/,Есть," 125,00"
45,B00487,Кабель SATA 7+15pin F/F,https://buygadget.com.ua/kabel-sata-715pin-ff/,Есть," 215,00"
46,B00723,Адаптер USB3.0 AF/BF ,https://buygadget.com.ua/adapter-usb30-afbf/,Есть," 96,00"
47,B00732,"Кабель синхронізації Ewell USB2.0 - Type-C M/M 2.4А 0.2 метри, білий",https://buygadget.com.ua/kabel-usb20-to-usb31-amcm-oyem/,Есть," 95,00"
48,B00426,Адаптер USB2.0 AM/AM,https://buygadget.com.ua/adapter-usb20-amam/,Есть," 44,00"
49,B00734,"USB3.0 кабель для ASUS TF600 / 810 / ME400, 30pin",https://buygadget.com.ua/usb30-kabel-dlya-asus-tf600--810--me400-30pin/,Есть," 264,00"
50,B00634,"Адаптер USB3.1 Type-C to HDMI, RTL",https://buygadget.com.ua/adapter-usb31-type-c-to-hdmi/,Есть," 295,00"
51,B00826,"USB-hub Ewell USB 3.1 Type-C to HDMI / USB3.0 / Type-C /Ethernet срібний, EW158",https://buygadget.com.ua/adapter-usb31-type-c-to-ethernet--hdmi--usb30--type-c/,Есть,"1 010,00"
52,B00954 (EW468),"Кабель Ewell HDMI, 4K 60Hz 0.5 метри, 4K 60Hz",https://buygadget.com.ua/kabel-hdmi-m-to-hdmi-m-v14-4k-oem/,Есть," 90,00"
53,B00355,Адаптер SCART M to 3xRCA F/S-Video,https://buygadget.com.ua/adapter-scart-m-to-3xrca-fs-video/,Есть," 136,00"
54,B00876,"Адаптер PCI-E to USB3.0 (2ext. Sata power) Low Profil, ASM1042, RTL",https://buygadget.com.ua/adapter-pci-e-to-usb30-2ext-sata-power-low-profil-asm1042-rtl/,Есть," 506,00"
55,B00610,"Адаптер Ewell MHL USB Type-C - HDMI, 1080p, 10 см (EW202)",https://buygadget.com.ua/mhl-adapter-usb31-type-c-to-hdmi-oem/,Есть," 360,00"
56,B00795,"PCI-E 1x to 4 Port USB 3.0, Hub Riser Card",https://buygadget.com.ua/pci-e-1x-to-4-port-usb-30-hub-riser-card/,Есть,"1 395,00"
